Gene 1	Gene 2	Weight	Network group	Network
SYNPR	LRRTM1	0.011701673	Co-expression	Roth-Zlotnik-2006
NRSN1	KCNA2	0.007992255	Co-expression	Roth-Zlotnik-2006
NCDN	LRRTM1	0.01209097	Co-expression	Roth-Zlotnik-2006
NCDN	SYNPR	0.009708941	Co-expression	Roth-Zlotnik-2006
FAM168B	NRSN1	0.007396865	Co-expression	Roth-Zlotnik-2006
DMXL2	MAGEE1	0.0088724755	Co-expression	Roth-Zlotnik-2006
OPA1	MAGEE1	0.009257167	Co-expression	Roth-Zlotnik-2006
SEZ6L	NRSN1	0.0068923323	Co-expression	Roth-Zlotnik-2006
GABRA2	MTPN	0.011466767	Co-expression	Roth-Zlotnik-2006
SYT11	KIF5C	0.010448731	Co-expression	Roth-Zlotnik-2006
MYO5A	NRSN1	0.0089834845	Co-expression	Roth-Zlotnik-2006
DNM3	SYT11	0.014507794	Co-expression	Roth-Zlotnik-2006
PCSK2	LRRTM1	0.010737013	Co-expression	Roth-Zlotnik-2006
PCSK2	MAGEE1	0.0048866845	Co-expression	Roth-Zlotnik-2006
DAGLA	PACSIN1	0.013947778	Co-expression	Roth-Zlotnik-2006
DAGLA	BASP1	0.013435809	Co-expression	Roth-Zlotnik-2006
DAGLA	KCNQ2	0.014157272	Co-expression	Roth-Zlotnik-2006
DNAJC6	CADM2	0.011053233	Co-expression	Roth-Zlotnik-2006
GABRB1	GABRA2	0.018008279	Co-expression	Roth-Zlotnik-2006
RASGRF1	NLGN3	0.020311164	Co-expression	Roth-Zlotnik-2006
FLRT3	CYFIP2	0.020042876	Co-expression	Roth-Zlotnik-2006
STX1B	KCNA2	0.009118523	Co-expression	Roth-Zlotnik-2006
STX1B	NRSN1	0.0026210316	Co-expression	Roth-Zlotnik-2006
STX1B	PACSIN1	0.009792202	Co-expression	Roth-Zlotnik-2006
STX1B	AAK1	0.00901914	Co-expression	Roth-Zlotnik-2006
CDH8	CADM2	0.009422395	Co-expression	Roth-Zlotnik-2006
CDH8	NRSN1	0.0067860447	Co-expression	Roth-Zlotnik-2006
CDH8	MAGEE1	0.008015264	Co-expression	Roth-Zlotnik-2006
ATP2B2	DAGLA	0.0140548935	Co-expression	Roth-Zlotnik-2006
ATP2B2	STX1B	0.009887159	Co-expression	Roth-Zlotnik-2006
KCNA1	KCNA2	0.031207267	Co-expression	Roth-Zlotnik-2006
KCNA1	PCSK2	0.013870643	Co-expression	Roth-Zlotnik-2006
KCNA1	NRXN3	0.01098092	Co-expression	Roth-Zlotnik-2006
ANK2	CADM2	0.010109663	Co-expression	Roth-Zlotnik-2006
ANK2	MAGEE1	0.008400696	Co-expression	Roth-Zlotnik-2006
SACS	MAGEE1	0.0043553193	Co-expression	Roth-Zlotnik-2006
SACS	OPA1	0.01730876	Co-expression	Roth-Zlotnik-2006
SACS	USP9X	0.014919735	Co-expression	Roth-Zlotnik-2006
SACS	PCSK2	0.0077629215	Co-expression	Roth-Zlotnik-2006
CAMK2N1	CADM2	0.0074976217	Co-expression	Roth-Zlotnik-2006
NLGN1	CADM2	0.006442243	Co-expression	Roth-Zlotnik-2006
NLGN1	MAGEE1	0.005563641	Co-expression	Roth-Zlotnik-2006
NLGN1	NCOA1	0.01638002	Co-expression	Roth-Zlotnik-2006
CADPS	NRSN1	0.008497797	Co-expression	Roth-Zlotnik-2006
CLIP2	SYT11	0.0056410325	Co-expression	Roth-Zlotnik-2006
DCC	LRRTM1	0.0177943	Co-expression	Roth-Zlotnik-2006
DCC	SYNPR	0.013464318	Co-expression	Roth-Zlotnik-2006
WDR7	CADM2	0.010267055	Co-expression	Roth-Zlotnik-2006
WDR7	NRSN1	0.008108403	Co-expression	Roth-Zlotnik-2006
PCDH8	GABRA2	0.01416362	Co-expression	Roth-Zlotnik-2006
PCDH8	PCSK2	0.010753789	Co-expression	Roth-Zlotnik-2006
KCNB1	OLFM1	0.021613235	Co-expression	Roth-Zlotnik-2006
DCLK1	CADM2	0.011284797	Co-expression	Roth-Zlotnik-2006
SLC6A1	CADM2	0.0041472055	Co-expression	Roth-Zlotnik-2006
PTPRN2	NRSN1	0.0066287867	Co-expression	Roth-Zlotnik-2006
PTPRN2	MAGEE1	0.0070361067	Co-expression	Roth-Zlotnik-2006
CHL1	GABRA2	0.018736826	Co-expression	Roth-Zlotnik-2006
CHL1	PCSK2	0.0153679345	Co-expression	Roth-Zlotnik-2006
KCNK1	NRXN3	0.0117458515	Co-expression	Roth-Zlotnik-2006
SLC12A5	NRSN1	0.0029647814	Co-expression	Roth-Zlotnik-2006
SLC12A5	MAGEE1	0.0032569696	Co-expression	Roth-Zlotnik-2006
SLC12A5	FAM168B	0.009808493	Co-expression	Roth-Zlotnik-2006
SLC12A5	DMXL2	0.010323171	Co-expression	Roth-Zlotnik-2006
SLC12A5	CDK5R1	0.011142938	Co-expression	Roth-Zlotnik-2006
SLC12A5	DAGLA	0.004087191	Co-expression	Roth-Zlotnik-2006
SLC12A5	STX1B	0.003492071	Co-expression	Roth-Zlotnik-2006
SLC12A5	ATP2B2	0.011364005	Co-expression	Roth-Zlotnik-2006
SLC12A5	DLGAP1	0.010684714	Co-expression	Roth-Zlotnik-2006
SLC12A5	PTPRN2	0.007969798	Co-expression	Roth-Zlotnik-2006
SPOCK1	KIF5C	0.012251325	Co-expression	Roth-Zlotnik-2006
SPOCK1	SYT11	0.008386688	Co-expression	Roth-Zlotnik-2006
SPOCK1	DNM3	0.015755747	Co-expression	Roth-Zlotnik-2006
SPOCK1	ANK2	0.017320683	Co-expression	Roth-Zlotnik-2006
SPOCK1	NLGN1	0.010223771	Co-expression	Roth-Zlotnik-2006
SPOCK1	SLC6A1	0.0062756655	Co-expression	Roth-Zlotnik-2006
RAPGEF2	CAMK2N1	0.0170994	Co-expression	Roth-Zlotnik-2006
ATL1	MAGEE1	0.002651177	Co-expression	Roth-Zlotnik-2006
ATL1	OPA1	0.008355075	Co-expression	Roth-Zlotnik-2006
ATL1	SYT11	0.0040684748	Co-expression	Roth-Zlotnik-2006
ATL1	VPS35	0.0069552944	Co-expression	Roth-Zlotnik-2006
ATL1	SPTBN1	0.0056587886	Co-expression	Roth-Zlotnik-2006
ATL1	MYO5A	0.008755246	Co-expression	Roth-Zlotnik-2006
ATL1	PCSK2	0.004710023	Co-expression	Roth-Zlotnik-2006
ATL1	DNAJC6	0.00842427	Co-expression	Roth-Zlotnik-2006
ATL1	NRXN1	0.00882791	Co-expression	Roth-Zlotnik-2006
ATL1	KLC1	0.0058313375	Co-expression	Roth-Zlotnik-2006
ATL1	CDH8	0.0070235	Co-expression	Roth-Zlotnik-2006
ATL1	SACS	0.004133944	Co-expression	Roth-Zlotnik-2006
ATL1	WDR7	0.00783168	Co-expression	Roth-Zlotnik-2006
ATL1	CHL1	0.008541951	Co-expression	Roth-Zlotnik-2006
ATL1	SPOCK1	0.0042286315	Co-expression	Roth-Zlotnik-2006
DSCAM	CADM2	0.0066705993	Co-expression	Roth-Zlotnik-2006
DSCAM	NRSN1	0.0049693147	Co-expression	Roth-Zlotnik-2006
DSCAM	DNAJC6	0.021019984	Co-expression	Roth-Zlotnik-2006
DSCAM	SLC6A1	0.007089582	Co-expression	Roth-Zlotnik-2006
ROBO1	AP3S1	0.021166647	Co-expression	Roth-Zlotnik-2006
ROBO1	NDN	0.02084912	Co-expression	Roth-Zlotnik-2006
CLSTN1	STXBP5	0.0077348743	Co-expression	Roth-Zlotnik-2006
CLSTN1	BASP1	0.007198526	Co-expression	Roth-Zlotnik-2006
CLSTN1	AAK1	0.006760282	Co-expression	Roth-Zlotnik-2006
CLSTN1	OLFM1	0.0068459525	Co-expression	Roth-Zlotnik-2006
CLSTN1	CYFIP2	0.0061937952	Co-expression	Roth-Zlotnik-2006
CLSTN1	CAMK2N1	0.005054232	Co-expression	Roth-Zlotnik-2006
CLSTN1	SV2B	0.0075740484	Co-expression	Roth-Zlotnik-2006
CLSTN1	EPHA4	0.007053364	Co-expression	Roth-Zlotnik-2006
CLSTN1	DLGAP1	0.0075631854	Co-expression	Roth-Zlotnik-2006
CLSTN1	KCNB1	0.0050591393	Co-expression	Roth-Zlotnik-2006
CLSTN1	DCLK1	0.007840863	Co-expression	Roth-Zlotnik-2006
CLSTN1	SLC12A5	0.0027299812	Co-expression	Roth-Zlotnik-2006
CLCN3	PURA	0.023353089	Co-expression	Roth-Zlotnik-2006
DNM1L	ATL1	0.008627221	Co-expression	Roth-Zlotnik-2006
SCAMP1	CADM2	0.008886977	Co-expression	Roth-Zlotnik-2006
SCAMP1	USP9X	0.02434135	Co-expression	Roth-Zlotnik-2006
GNAQ	ATL1	0.008395897	Co-expression	Roth-Zlotnik-2006
KCNQ3	LRRTM1	0.01595677	Co-expression	Roth-Zlotnik-2006
KCNQ3	NRSN1	0.0057626464	Co-expression	Roth-Zlotnik-2006
KCNQ3	DCC	0.023823043	Co-expression	Roth-Zlotnik-2006
KCNQ3	PTPRN2	0.016985223	Co-expression	Roth-Zlotnik-2006
EPHA7	SYNPR	0.010870047	Co-expression	Roth-Zlotnik-2006
EPHA7	NRXN3	0.00951579	Co-expression	Roth-Zlotnik-2006
EPHA7	NLGN1	0.012034033	Co-expression	Roth-Zlotnik-2006
PTBP2	SPAST	0.012445333	Co-expression	Roth-Zlotnik-2006
ABI1	AP3S1	0.019776529	Co-expression	Roth-Zlotnik-2006
KCND2	NRXN3	0.0077456944	Co-expression	Roth-Zlotnik-2006
KIF5A	GABRA2	0.015141006	Co-expression	Roth-Zlotnik-2006
KIF5A	KCNB1	0.01763446	Co-expression	Roth-Zlotnik-2006
KIF5A	CHL1	0.025205681	Co-expression	Roth-Zlotnik-2006
KIF5A	ATL1	0.006724313	Co-expression	Roth-Zlotnik-2006
KIF5A	CLSTN1	0.0059302277	Co-expression	Roth-Zlotnik-2006
PRKCG	CPLX2	0.017509019	Co-expression	Roth-Zlotnik-2006
NRCAM	CADM2	0.0051719765	Co-expression	Roth-Zlotnik-2006
NRCAM	MAGEE1	0.0043081506	Co-expression	Roth-Zlotnik-2006
NRCAM	SEZ6L	0.01247794	Co-expression	Roth-Zlotnik-2006
NRCAM	MYO5A	0.015714291	Co-expression	Roth-Zlotnik-2006
NRCAM	NRXN1	0.016061693	Co-expression	Roth-Zlotnik-2006
NRCAM	CAMK2N1	0.009840584	Co-expression	Roth-Zlotnik-2006
NRCAM	CHL1	0.014029185	Co-expression	Roth-Zlotnik-2006
NRCAM	ATL1	0.0039755967	Co-expression	Roth-Zlotnik-2006
NRCAM	DSCAM	0.008726989	Co-expression	Roth-Zlotnik-2006
NRCAM	KIF5A	0.011609723	Co-expression	Roth-Zlotnik-2006
GRIA3	CADM2	0.008389945	Co-expression	Roth-Zlotnik-2006
GRIA3	CAMK2N1	0.018255588	Co-expression	Roth-Zlotnik-2006
GRIA3	RAPGEF2	0.020201348	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	KCNA2	0.00977405	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	NRSN1	0.0027342457	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	PACSIN1	0.010869318	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	FAM168B	0.009777047	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	SEZ6L	0.0092798015	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	SYN2	0.010968085	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	DAGLA	0.0041213264	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	STX1B	0.0033952657	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	ATP2B2	0.010437405	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	SV2B	0.010480536	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	CADPS	0.010305315	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	SLC12A5	0.0035102328	Co-expression	Roth-Zlotnik-2006
MAPK8IP2	KCNQ3	0.006983305	Co-expression	Roth-Zlotnik-2006
SYPL1	CYFIP1	0.011991476	Co-expression	Roth-Zlotnik-2006
ATP6V0D1	TPRG1L	0.009111306	Co-expression	Roth-Zlotnik-2006
LAMP1	CYFIP1	0.019351002	Co-expression	Roth-Zlotnik-2006
NEFL	KLC1	0.014690418	Co-expression	Roth-Zlotnik-2006
NEFL	ATL1	0.004475126	Co-expression	Roth-Zlotnik-2006
MAPK1	GABRA2	0.013839213	Co-expression	Roth-Zlotnik-2006
GRIN2A	OLFM1	0.016570648	Co-expression	Roth-Zlotnik-2006
GRIN2A	CDK5R1	0.018067442	Co-expression	Roth-Zlotnik-2006
