Gene 1	Gene 2	Weight	Network group	Network
LTBR	NFAM1	0.0059921513	Co-expression	Bahr-Bowler-2013
S100A4	LTBR	0.0070728175	Co-expression	Bahr-Bowler-2013
FGR	LTBR	0.004897671	Co-expression	Bahr-Bowler-2013
FGR	S100A4	0.011959095	Co-expression	Bahr-Bowler-2013
CLIC1	S100A4	0.015343118	Co-expression	Bahr-Bowler-2013
CORO7	GPSM3	0.016312772	Co-expression	Bahr-Bowler-2013
LSP1	GPSM3	0.02580257	Co-expression	Bahr-Bowler-2013
DNM2	GPSM3	0.0068642637	Co-expression	Bahr-Bowler-2013
DNM2	CORO7	0.0047533587	Co-expression	Bahr-Bowler-2013
DNM2	LSP1	0.008169176	Co-expression	Bahr-Bowler-2013
FXYD5	UBA52	0.01578437	Co-expression	Bahr-Bowler-2013
FXYD5	GPSM3	0.014186417	Co-expression	Bahr-Bowler-2013
FXYD5	DNM2	0.004903411	Co-expression	Bahr-Bowler-2013
EMP3	S100A4	0.018988615	Co-expression	Bahr-Bowler-2013
FCER1G	LTBR	0.005579266	Co-expression	Bahr-Bowler-2013
FCER1G	S100A4	0.014098477	Co-expression	Bahr-Bowler-2013
FCER1G	FGR	0.009548066	Co-expression	Bahr-Bowler-2013
ALOX5	SLC15A3	0.008449152	Co-expression	Bahr-Bowler-2013
TNFRSF1B	SLC15A3	0.0050702775	Co-expression	Bahr-Bowler-2013
TNFRSF1B	FCER1G	0.00886722	Co-expression	Bahr-Bowler-2013
PRKD3	SKAP2	0.013008219	Co-expression	Ramaswamy-Golub-2001
FGR	S100A4	0.016205609	Co-expression	Ramaswamy-Golub-2001
CLIC1	S100A4	0.006120049	Co-expression	Ramaswamy-Golub-2001
SLC15A4	SKAP2	0.01207495	Co-expression	Ramaswamy-Golub-2001
FXYD5	S100A4	0.015712863	Co-expression	Ramaswamy-Golub-2001
SPI1	FXYD5	0.013429887	Co-expression	Ramaswamy-Golub-2001
EMP3	S100A4	0.011136567	Co-expression	Ramaswamy-Golub-2001
EMP3	FGR	0.012138531	Co-expression	Ramaswamy-Golub-2001
EMP3	CLIC1	0.0046341172	Co-expression	Ramaswamy-Golub-2001
FCER1G	S100A4	0.011235396	Co-expression	Ramaswamy-Golub-2001
FCER1G	PRKCD	0.011245846	Co-expression	Ramaswamy-Golub-2001
FCER1G	NFKBIA	0.0067435526	Co-expression	Ramaswamy-Golub-2001
FCER1G	SPI1	0.008622836	Co-expression	Ramaswamy-Golub-2001
IRF4	NLRC5	0.0146048665	Co-expression	Ramaswamy-Golub-2001
TNFRSF1B	SLC15A3	0.009925815	Co-expression	Ramaswamy-Golub-2001
TNFRSF1B	SPI1	0.013683206	Co-expression	Ramaswamy-Golub-2001
NLRC5	NFATC2	0.020575834	Co-expression	Mallon-McKay-2013
FGR	SLC15A3	0.010011819	Co-expression	Mallon-McKay-2013
NFKBIA	SLC15A3	0.008306194	Co-expression	Mallon-McKay-2013
LSP1	NLRC5	0.010837839	Co-expression	Mallon-McKay-2013
CD40	SLC15A3	0.010661072	Co-expression	Mallon-McKay-2013
CD40	PRKCD	0.01594018	Co-expression	Mallon-McKay-2013
CD40	NFKBIA	0.0136324	Co-expression	Mallon-McKay-2013
SPI1	NFATC2	0.015703194	Co-expression	Mallon-McKay-2013
SPI1	FGR	0.0145201795	Co-expression	Mallon-McKay-2013
EMP3	S100A4	0.006078982	Co-expression	Mallon-McKay-2013
FCER1G	FGR	0.015686212	Co-expression	Mallon-McKay-2013
ALOX5	SLC15A3	0.00878171	Co-expression	Mallon-McKay-2013
ALOX5	FGR	0.012545933	Co-expression	Mallon-McKay-2013
SKAP2	TNFRSF10C	0.018880522	Co-expression	Innocenti-Brown-2011
S100A4	SKAP2	0.019554934	Co-expression	Innocenti-Brown-2011
CORO7	SLC15A3	0.009745598	Co-expression	Innocenti-Brown-2011
LSP1	TNFRSF10C	0.009479367	Co-expression	Innocenti-Brown-2011
LSP1	SLC15A3	0.0060611	Co-expression	Innocenti-Brown-2011
LSP1	S100A4	0.009984757	Co-expression	Innocenti-Brown-2011
LSP1	PRKCD	0.00847622	Co-expression	Innocenti-Brown-2011
FXYD5	SLC15A3	0.0059739705	Co-expression	Innocenti-Brown-2011
FXYD5	PRKCD	0.009261784	Co-expression	Innocenti-Brown-2011
FXYD5	LSP1	0.005918648	Co-expression	Innocenti-Brown-2011
SPI1	FGR	0.016590254	Co-expression	Innocenti-Brown-2011
SPI1	FXYD5	0.008223455	Co-expression	Innocenti-Brown-2011
EMP3	SLC15A3	0.00637165	Co-expression	Innocenti-Brown-2011
EMP3	PRKCD	0.008793126	Co-expression	Innocenti-Brown-2011
EMP3	FGR	0.008908358	Co-expression	Innocenti-Brown-2011
EMP3	CLIC1	0.00460319	Co-expression	Innocenti-Brown-2011
EMP3	LSP1	0.005978492	Co-expression	Innocenti-Brown-2011
EMP3	FXYD5	0.0062802425	Co-expression	Innocenti-Brown-2011
FCER1G	SKAP2	0.012658827	Co-expression	Innocenti-Brown-2011
FCER1G	FGR	0.012457898	Co-expression	Innocenti-Brown-2011
FCER1G	EMP3	0.005980881	Co-expression	Innocenti-Brown-2011
ALOX5	TNFRSF10C	0.020955082	Co-expression	Innocenti-Brown-2011
ALOX5	S100A4	0.01918454	Co-expression	Innocenti-Brown-2011
ALOX5	FCER1G	0.01504441	Co-expression	Innocenti-Brown-2011
FGR	S100A4	0.01534723	Co-expression	Wang-Maris-2006
CLIC1	PRKCD	0.013013412	Co-expression	Wang-Maris-2006
LSP1	SKAP2	0.0109752165	Co-expression	Wang-Maris-2006
LSP1	GPSM3	0.009000552	Co-expression	Wang-Maris-2006
LSP1	NFKBIA	0.013764544	Co-expression	Wang-Maris-2006
TNFSF10	SKAP2	0.008928529	Co-expression	Wang-Maris-2006
CD40	TNFRSF10C	0.012917111	Co-expression	Wang-Maris-2006
CD40	FGR	0.014360841	Co-expression	Wang-Maris-2006
EMP3	LTBR	0.0075607025	Co-expression	Wang-Maris-2006
EMP3	GPSM3	0.00412504	Co-expression	Wang-Maris-2006
EMP3	NFKBIA	0.0078072147	Co-expression	Wang-Maris-2006
EMP3	LSP1	0.007404153	Co-expression	Wang-Maris-2006
FCER1G	NFKBIA	0.00876626	Co-expression	Wang-Maris-2006
FCER1G	LSP1	0.008353429	Co-expression	Wang-Maris-2006
FCER1G	EMP3	0.0050173695	Co-expression	Wang-Maris-2006
ALOX5	GPSM3	0.009037671	Co-expression	Wang-Maris-2006
ALOX5	EMP3	0.008571768	Co-expression	Wang-Maris-2006
ALOX5	FCER1G	0.011654796	Co-expression	Wang-Maris-2006
IRF4	TNFSF10	0.01122203	Co-expression	Wang-Maris-2006
TNFRSF1B	SKAP2	0.007383268	Co-expression	Wang-Maris-2006
TNFRSF1B	GPSM3	0.0052890144	Co-expression	Wang-Maris-2006
TNFRSF1B	NFKBIA	0.010331738	Co-expression	Wang-Maris-2006
TNFRSF1B	LSP1	0.00958043	Co-expression	Wang-Maris-2006
TNFRSF1B	EMP3	0.0049596597	Co-expression	Wang-Maris-2006
TNFRSF1B	FCER1G	0.005908033	Co-expression	Wang-Maris-2006
TNFRSF1B	ALOX5	0.011390302	Co-expression	Wang-Maris-2006
