Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Occipital lobe,,5,,
,WB,,,Parietal lobe,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
MSBB,Anterior Cingulate,Microarray,B2-B1,CCL5,-0.279572671,0.279572671,0.037090792,0.999758325
MSBB,Anterior Cingulate,Microarray,B2-B1,CXCL10,-0.288784797,0.288784797,0.040030686,0.999758325
MSBB,Anterior Cingulate,Microarray,B2-B1,SOCS1,-0.096576638,0.096576638,0.048608277,0.999758325
MSBB,Anterior Cingulate,Microarray,B2-B1,CIITA,-0.080518038,0.080518038,0.046092372,0.999758325
MSBB,Anterior Cingulate,Microarray,B2-B1,HLA-DPA1,-0.162406807,0.162406807,0.010964734,0.999758325
MSBB,Anterior Cingulate,Microarray,B2-B1,MMD,0.458952509,0.458952509,0.026698694,0.999758325
MSBB,Amygdala,Microarray,B2-B1,MMD,0.329831793,0.329831793,0.036573535,0.999786946
