Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Occipital lobe,,5,,
,WB,,,Parietal lobe,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
MSBB,Anterior Cingulate,Microarray,B3-B1,MEF2C,-0.784970822,0.784970822,0.045351768,0.999786844
MSBB,Anterior Cingulate,Microarray,B3-B1,TGFBR1,0.104951039,0.104951039,0.021405701,0.999786844
MSBB,Anterior Cingulate,Microarray,B3-B1,KLF12,-0.399662356,0.399662356,0.032190032,0.999786844
MSBB,Anterior Cingulate,Microarray,B3-B1,ITGB5,0.286710144,0.286710144,0.047454741,0.999786844
MSBB,Anterior Cingulate,Microarray,B3-B1,P2RY12,0.568953228,0.568953228,0.038366661,0.999786844
MSBB,Anterior Cingulate,Microarray,B3-B1,ATP8A2,-0.160899672,0.160899672,0.04561982,0.999786844
MSBB,Anterior Cingulate,Microarray,B3-B1,P2RY13,0.183706806,0.183706806,0.009493103,0.999786844
